Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1992,Pat Listach,Brewers,149,649,1,93,47,54,8.50%,19.10%,0.059,0.366,0.29,0.352,0.349,0.324,101,3.7,4.6,5.9,3.4,1007655
2006,Michael Young,Rangers,162,748,14,93,103,7,6.40%,12.80%,0.145,0.345,0.314,0.356,0.459,0.352,107,-3.9,2.6,6.3,3.4,1286
2003,Miguel Tejada,Athletics,162,703,27,98,106,10,7.50%,9.20%,0.193,0.272,0.278,0.336,0.472,0.344,109,4.9,13.2,-3.3,3.4,941
2008,Derek Jeter,Yankees,150,668,11,88,69,11,7.80%,12.70%,0.107,0.333,0.3,0.363,0.408,0.344,109,-2.4,4.6,6.1,3.3,826
2006,Omar Vizquel,Giants,153,659,4,88,58,24,8.50%,7.70%,0.093,0.316,0.295,0.361,0.389,0.331,95,0.7,-3.5,16.1,3.3,411
2007,Jason Bartlett,Twins,140,570,5,75,43,23,8.80%,12.80%,0.096,0.3,0.265,0.339,0.361,0.313,88,8,-0.3,14.8,3.3,8219
2000,Rafael Furcal,Braves,131,542,4,87,37,40,13.50%,14.80%,0.088,0.349,0.295,0.394,0.382,0.355,107,1.6,6.5,10.7,3.3,88
2013,J.J. Hardy,Orioles,159,644,25,66,76,2,5.90%,11.30%,0.17,0.263,0.263,0.306,0.433,0.322,99,-3.2,-3.8,13.3,3.3,3797
2008,Jhonny Peralta,Indians,154,664,23,104,89,3,7.20%,19.00%,0.197,0.312,0.276,0.331,0.473,0.347,112,-4.8,4.8,5.7,3.3,1738
2002,Omar Vizquel,Indians,151,663,14,85,72,18,8.40%,9.70%,0.143,0.284,0.275,0.341,0.418,0.331,102,5.2,6.8,3.7,3.3,411
2014,J.J. Hardy,Orioles,141,569,9,56,52,0,5.10%,18.30%,0.104,0.317,0.268,0.309,0.372,0.303,90,-2.5,-8.6,20.4,3.3,3797
2008,Orlando Cabrera,White Sox,161,730,8,93,57,19,7.70%,9.70%,0.089,0.301,0.281,0.334,0.371,0.314,85,-0.3,-14.2,22.1,3.3,766
2007,Carlos Guillen,Tigers,151,630,21,86,102,13,8.70%,14.80%,0.206,0.319,0.296,0.357,0.502,0.364,120,0.7,16.3,-4.6,3.3,1079
2009,Elvis Andrus,Rangers,145,541,6,72,40,33,7.40%,14.20%,0.106,0.305,0.267,0.329,0.373,0.313,81,8.7,-4.4,18.3,3.2,8709
2004,Omar Vizquel,Indians,148,651,7,82,59,19,8.80%,9.50%,0.097,0.313,0.291,0.353,0.388,0.329,99,6.2,5.3,5.6,3.2,411
1996,Omar Vizquel,Indians,151,623,9,98,64,35,9.00%,6.70%,0.12,0.304,0.297,0.362,0.417,0.346,98,2.8,1.4,9.1,3.2,411
1985,Alan Trammell,Tigers,149,678,13,79,57,14,7.40%,10.50%,0.122,0.27,0.258,0.312,0.38,0.307,91,0.6,-7,16.2,3.2,1013157
2014,Alexei Ramirez,White Sox,158,657,15,82,74,21,3.70%,12.30%,0.135,0.292,0.273,0.305,0.408,0.314,100,1.4,1.3,6.4,3.2,5133
2017,Xander Bogaerts,Red Sox,148,635,10,94,62,15,8.80%,18.30%,0.13,0.327,0.273,0.343,0.403,0.321,96,8.3,4.8,5.1,3.2,12161
2014,Alcides Escobar,Royals,162,620,3,74,50,31,3.70%,13.40%,0.092,0.326,0.285,0.317,0.377,0.307,93,4.8,-0.1,9,3.2,6310
2004,Khalil Greene,Padres,139,554,15,67,65,4,9.60%,17.00%,0.174,0.305,0.273,0.349,0.446,0.339,110,2.7,9.6,4.2,3.2,1826
2013,Alexei Ramirez,White Sox,158,674,6,68,48,30,3.90%,10.10%,0.096,0.309,0.284,0.313,0.38,0.304,88,3.4,-5.7,12.7,3.2,5133
2015,Andrelton Simmons,Braves,147,583,4,60,44,5,6.70%,8.20%,0.073,0.285,0.265,0.321,0.338,0.29,81,0.6,-12.4,23.9,3.2,10847
2001,Orlando Cabrera,Expos,162,684,14,64,96,19,6.30%,7.90%,0.152,0.281,0.276,0.324,0.428,0.322,87,0.7,-10.9,20.2,3.1,766
1989,Jody Reed,Red Sox,146,619,3,76,40,4,11.80%,7.10%,0.105,0.307,0.288,0.376,0.393,0.353,118,-1.4,11.1,-3.1,3.1,1010771
1990,Ozzie Smith,Cardinals,143,592,1,61,50,32,10.30%,5.60%,0.051,0.264,0.254,0.33,0.305,0.293,78,3.8,-11.5,21.4,3.1,1012186
2015,Didi Gregorius,Yankees,155,578,9,57,56,5,5.70%,14.70%,0.105,0.297,0.265,0.318,0.37,0.303,89,3.5,-3.7,14.2,3.1,6012
1987,Julio Franco,Indians,128,560,8,86,52,32,10.20%,10.00%,0.109,0.344,0.319,0.389,0.428,0.362,120,2.3,16.3,-3.8,3.1,87
2016,Jonathan Villar,Brewers,156,679,19,92,63,62,11.60%,25.60%,0.171,0.373,0.285,0.369,0.457,0.356,119,3.2,19,-10.4,3.1,10071
2012,Starlin Castro,Cubs,162,691,14,78,78,25,5.20%,14.50%,0.147,0.315,0.283,0.323,0.43,0.323,100,-0.9,-1.3,9.2,3.1,4579
1993,Tony Fernandez,- - -,142,594,5,65,64,21,9.40%,7.60%,0.114,0.296,0.279,0.348,0.394,0.332,100,0.2,0.4,10.6,3.1,1004002
2009,Rafael Furcal,Dodgers,150,680,9,92,47,12,9.00%,13.10%,0.106,0.302,0.269,0.335,0.375,0.317,93,2.5,-3.7,12.2,3,88
2008,Ryan Theriot,Cubs,149,661,1,85,38,22,11.00%,8.80%,0.052,0.339,0.307,0.387,0.359,0.341,99,1.3,0.5,8.4,3,3811
1999,Rey Ordonez,Mets,154,588,1,49,60,8,8.30%,10.00%,0.06,0.285,0.258,0.319,0.317,0.282,62,-0.2,-30.7,41.1,3,889
2016,Asdrubal Cabrera,Mets,141,568,23,65,62,5,6.70%,18.10%,0.194,0.31,0.28,0.336,0.474,0.345,119,-3.7,9.4,1.8,3,4962
2008,Marco Scutaro,Blue Jays,145,592,7,76,60,7,9.60%,11.00%,0.089,0.29,0.267,0.341,0.356,0.315,89,-0.5,-8.4,17.9,3,1555
1989,Alan Trammell,Tigers,121,506,5,54,43,10,8.90%,8.90%,0.091,0.257,0.243,0.314,0.334,0.298,86,1,-7,19,3,1013157
2011,Emilio Bonifacio,Marlins,152,641,5,78,36,40,9.20%,20.10%,0.097,0.372,0.296,0.36,0.393,0.335,109,6.9,13.4,-5.3,3,4054
1990,Howard Johnson,Mets,154,668,23,89,90,34,10.30%,15.00%,0.19,0.254,0.244,0.319,0.434,0.329,106,3.4,8.4,-3.7,3,1006462
2010,Alex Gonzalez,- - -,157,640,23,74,88,1,4.80%,18.40%,0.197,0.275,0.25,0.294,0.447,0.321,96,-2.3,-5.1,12.5,2.9,520
2009,Asdrubal Cabrera,Indians,131,581,6,81,68,17,7.60%,15.30%,0.13,0.36,0.308,0.361,0.438,0.351,112,3.2,11.8,-2.5,2.9,4962
1997,Royce Clayton,Cardinals,154,619,9,75,61,30,5.30%,17.60%,0.132,0.311,0.266,0.306,0.398,0.307,81,1.7,-13.3,22.9,2.9,226
2014,Brandon Crawford,Giants,153,564,10,54,69,5,10.50%,22.90%,0.143,0.307,0.246,0.324,0.389,0.309,101,2,2.3,7.5,2.9,5343
2015,Addison Russell,Cubs,142,523,13,60,54,4,8.00%,28.50%,0.147,0.324,0.242,0.307,0.389,0.304,90,0.4,-6,17.1,2.9,14106
2017,Jean Segura,Mariners,125,566,11,80,45,22,6.00%,14.70%,0.128,0.339,0.3,0.349,0.427,0.334,111,-0.5,7.4,2.3,2.9,5933
1993,Andujar Cedeno,Astros,149,569,11,69,56,9,8.40%,17.00%,0.129,0.328,0.283,0.346,0.412,0.333,106,-1,3.3,5.6,2.9,1002099
1988,Howard Johnson,Mets,148,594,24,85,68,23,14.50%,17.50%,0.192,0.24,0.23,0.343,0.422,0.33,118,1.5,13.2,-5.5,2.9,1006462
2016,Troy Tulowitzki,Blue Jays,131,544,24,54,79,1,7.90%,18.60%,0.189,0.272,0.254,0.318,0.443,0.327,103,-2.7,-0.8,10.4,2.9,3531
1999,Rey Sanchez,Royals,134,518,2,66,56,11,4.20%,9.30%,0.075,0.322,0.294,0.329,0.37,0.31,74,-0.1,-18.3,29,2.9,213
2001,Shane Halter,Tigers,136,507,12,53,65,3,7.30%,19.70%,0.182,0.337,0.284,0.344,0.467,0.346,115,-0.7,8.7,3,2.9,468
2013,Elvis Andrus,Rangers,156,698,4,91,67,42,7.40%,13.90%,0.06,0.312,0.271,0.328,0.331,0.296,78,10.6,-6.7,10.1,2.8,8709
1988,Walt Weiss,Athletics,147,511,3,44,39,4,6.80%,11.00%,0.071,0.275,0.25,0.312,0.321,0.29,85,-1.1,-9.9,20.7,2.8,1013748
1988,Ozzie Guillen,White Sox,156,606,0,58,39,25,4.10%,6.60%,0.053,0.28,0.261,0.294,0.314,0.274,69,-0.4,-22.1,30.4,2.8,1005125
1993,Greg Gagne,Royals,159,581,10,66,57,10,5.70%,16.00%,0.126,0.32,0.28,0.319,0.406,0.321,92,-2.9,-8.5,18.2,2.8,1004427
2008,Cristian Guzman,Nationals,138,612,9,77,55,6,3.80%,9.30%,0.124,0.337,0.316,0.345,0.44,0.344,106,-1.6,2.9,5.5,2.8,728
1988,Kurt Stillwell,Royals,128,518,10,63,53,6,9.10%,14.70%,0.148,0.279,0.251,0.322,0.399,0.325,103,-1.1,0.8,8.5,2.8,1012536
2014,Starlin Castro,Cubs,134,569,14,58,65,4,6.20%,17.60%,0.146,0.337,0.292,0.339,0.438,0.341,117,-4.7,6.4,2.4,2.8,4579
1996,John Valentin,Red Sox,131,606,13,84,59,9,10.40%,9.70%,0.14,0.31,0.296,0.374,0.436,0.36,106,-2.9,2.4,4.4,2.8,1375
2008,Yunel Escobar,Braves,136,587,10,71,60,2,10.10%,10.60%,0.113,0.311,0.288,0.366,0.401,0.341,106,-4.2,0.2,8.8,2.8,4191
1990,Jody Reed,Red Sox,155,691,5,70,51,4,10.90%,9.40%,0.1,0.316,0.289,0.371,0.39,0.346,112,-1.1,8.1,-3.6,2.8,1010771
2010,Juan Uribe,Giants,148,575,24,64,85,1,7.80%,16.00%,0.192,0.256,0.248,0.31,0.44,0.324,102,-3.5,-2,11,2.8,454
2011,Starlin Castro,Cubs,158,715,10,91,66,22,4.90%,13.40%,0.125,0.344,0.307,0.341,0.432,0.338,109,-2.7,4.3,-0.3,2.8,4579
2004,Rafael Furcal,Braves,143,632,14,103,59,29,9.20%,11.20%,0.135,0.296,0.279,0.344,0.414,0.33,97,9.2,6.7,0.5,2.8,88
1999,Royce Clayton,Rangers,133,520,14,69,52,8,7.50%,19.20%,0.157,0.339,0.288,0.346,0.445,0.347,98,-1.1,-2.3,13.1,2.8,226
2007,Khalil Greene,Padres,153,659,27,89,97,4,4.90%,19.40%,0.214,0.274,0.254,0.291,0.468,0.321,98,2.3,0.2,6.4,2.8,1826
1999,Miguel Tejada,Athletics,159,674,21,93,84,8,8.50%,13.90%,0.175,0.265,0.251,0.325,0.427,0.328,92,-1.6,-9.2,14.4,2.8,941
2003,Julio Lugo,- - -,139,556,15,64,55,12,7.90%,18.00%,0.139,0.311,0.271,0.333,0.41,0.326,97,3.1,1,7.8,2.7,565
2004,Michael Young,Rangers,160,739,22,114,99,12,6.00%,12.00%,0.17,0.333,0.313,0.353,0.483,0.359,110,5.3,14.6,-11.6,2.7,1286
2003,Alex Gonzalez,Marlins,150,582,18,52,77,0,5.70%,18.20%,0.188,0.286,0.256,0.313,0.443,0.318,93,0.1,-5.2,13.7,2.7,520
1986,Julio Franco,Indians,149,636,10,80,74,10,5.00%,10.40%,0.117,0.328,0.306,0.338,0.422,0.337,105,-0.9,2.8,2.1,2.7,87
1993,Mike Lansing,Expos,141,555,3,64,45,23,8.30%,10.10%,0.081,0.317,0.287,0.352,0.369,0.327,98,2.7,1.3,6,2.7,1007334
2003,Angel Berroa,Royals,158,635,17,92,73,21,4.60%,15.70%,0.164,0.319,0.287,0.338,0.451,0.34,101,2.7,3.3,2.1,2.7,591
1997,Omar Vizquel,Indians,153,642,5,89,49,43,8.90%,9.00%,0.088,0.304,0.28,0.347,0.368,0.323,89,3.5,-5.4,10.1,2.7,411
2006,Orlando Cabrera,Angels,153,675,9,95,72,27,7.60%,8.60%,0.122,0.294,0.282,0.335,0.404,0.322,92,6.5,-0.4,4.6,2.7,766
2016,Didi Gregorius,Yankees,153,597,20,68,70,7,3.20%,13.70%,0.171,0.29,0.276,0.304,0.447,0.319,98,3.6,1.9,3.8,2.7,6012
2002,Rafael Furcal,Braves,154,693,8,95,47,27,6.20%,16.50%,0.112,0.324,0.275,0.323,0.387,0.313,88,2.8,-7.3,11.3,2.7,88
2004,Bobby Crosby,Athletics,151,623,22,70,64,7,9.30%,22.60%,0.187,0.278,0.239,0.319,0.426,0.324,93,-0.6,-5.9,11.8,2.6,1818
2012,Derek Jeter,Yankees,159,740,15,99,58,9,6.10%,12.20%,0.113,0.347,0.316,0.362,0.429,0.347,117,-3.3,11.4,-10.6,2.6,826
2016,Eduardo Nunez,- - -,141,595,16,73,67,40,4.90%,14.80%,0.145,0.314,0.288,0.325,0.432,0.324,101,2.8,3.4,2.6,2.6,6848
2012,Asdrubal Cabrera,Indians,143,616,16,70,68,9,8.40%,16.10%,0.153,0.303,0.27,0.338,0.423,0.332,112,-1.6,7,-2.3,2.6,4962
2012,Hanley Ramirez,- - -,157,667,24,79,92,21,8.10%,19.80%,0.18,0.29,0.257,0.322,0.437,0.328,107,0.3,6.1,-1.7,2.6,8001
2001,Carlos Guillen,Mariners,140,523,5,72,53,4,10.10%,17.00%,0.096,0.307,0.259,0.333,0.355,0.307,89,0.3,-7.2,15.7,2.6,1079
2000,Damian Jackson,Padres,138,541,6,68,37,28,11.50%,20.00%,0.121,0.318,0.255,0.345,0.377,0.324,93,2.9,-2.4,11.7,2.6,471
1993,Ozzie Smith,Cardinals,141,603,1,75,53,21,7.10%,3.00%,0.068,0.293,0.288,0.337,0.356,0.313,90,1,-6.5,11,2.6,1012186
2001,Rey Sanchez,- - -,149,579,0,56,37,11,2.60%,8.50%,0.055,0.306,0.281,0.3,0.336,0.279,61,1.7,-27.4,33.4,2.6,213
2009,Jimmy Rollins,Phillies,155,725,21,100,77,31,6.10%,9.70%,0.173,0.251,0.25,0.296,0.423,0.312,85,4.2,-9,11.5,2.6,971
2007,Jack Wilson,Pirates,135,535,12,67,56,2,7.10%,8.60%,0.145,0.303,0.296,0.35,0.44,0.34,102,0.9,2.2,6.2,2.5,1017
2006,Aaron Hill,Blue Jays,155,606,6,70,50,5,6.90%,10.90%,0.095,0.319,0.291,0.349,0.386,0.323,90,3.9,-3.8,9.1,2.5,6104
1991,Tony Fernandez,Padres,145,621,4,81,38,23,8.90%,11.90%,0.088,0.308,0.272,0.337,0.36,0.319,99,1,0.2,3.8,2.5,1004002
2010,Jose Reyes,Mets,133,603,11,83,54,30,5.10%,10.40%,0.146,0.301,0.282,0.321,0.428,0.325,102,2.8,4.3,1.4,2.5,1736
2000,Omar Vizquel,Indians,156,717,7,101,66,22,12.10%,10.00%,0.088,0.314,0.287,0.377,0.375,0.343,96,-0.1,-4.2,5.8,2.5,411
2016,Zack Cozart,Reds,121,508,16,67,50,4,7.30%,16.50%,0.172,0.274,0.252,0.308,0.425,0.312,91,-0.4,-6,14.5,2.5,2616
2000,Rich Aurilia,Giants,141,571,20,67,79,1,9.50%,15.80%,0.173,0.293,0.271,0.339,0.444,0.34,100,-0.6,-0.4,8.1,2.5,1106
1985,Garry Templeton,Padres,148,596,6,63,55,16,6.90%,14.80%,0.095,0.325,0.282,0.332,0.377,0.303,92,0.6,-5.1,9.9,2.5,1012909
2005,David Eckstein,Cardinals,158,713,8,90,61,11,8.10%,6.20%,0.102,0.304,0.294,0.363,0.395,0.338,105,-1.7,3.2,-1.6,2.5,10
2008,Miguel Tejada,Astros,158,666,13,92,66,7,3.60%,10.80%,0.131,0.302,0.283,0.314,0.415,0.317,90,-5.7,-13.7,16.9,2.5,941
1986,Alfredo Griffin,Athletics,162,649,4,74,51,33,5.40%,8.00%,0.079,0.303,0.285,0.323,0.364,0.305,91,0.1,-6.9,8.8,2.4,1005036
2015,Troy Tulowitzki,- - -,128,534,17,77,70,1,7.10%,21.30%,0.16,0.331,0.28,0.337,0.44,0.335,101,-4,-3.2,9.1,2.4,3531
2012,J.J. Hardy,Orioles,158,713,22,85,68,0,5.30%,14.90%,0.151,0.253,0.238,0.282,0.389,0.29,78,-2.4,-20.4,19.8,2.4,3797
1995,Royce Clayton,Giants,138,557,5,56,58,24,6.80%,19.60%,0.098,0.299,0.244,0.298,0.342,0.288,72,0.7,-18.9,24.2,2.4,226
1988,Dick Schofield,Angels,155,589,6,61,34,20,6.80%,9.70%,0.078,0.258,0.239,0.303,0.317,0.286,79,1.6,-12.7,16.3,2.4,1011602
2007,Brendan Harris,Devil Rays,137,576,12,72,59,4,7.30%,16.70%,0.148,0.331,0.286,0.343,0.434,0.341,107,1.2,5.9,-1.5,2.4,2178
2012,Jhonny Peralta,Tigers,150,585,13,58,63,1,8.40%,17.90%,0.145,0.275,0.239,0.305,0.384,0.301,86,-5.2,-14.8,18,2.4,1738
2000,Deivi Cruz,Tigers,156,615,10,68,82,1,2.10%,7.00%,0.148,0.309,0.302,0.318,0.449,0.329,92,-1.6,-7.9,11,2.4,1025
1996,Mark Grudzielanek,Expos,153,696,6,99,49,33,3.70%,11.90%,0.091,0.342,0.306,0.34,0.397,0.326,96,3.3,-0.6,4.2,2.4,653
2008,Michael Young,Rangers,155,708,12,102,82,10,7.80%,15.40%,0.118,0.323,0.284,0.339,0.402,0.328,95,2.1,-2.6,1.9,2.3,1286
1994,Wil Cordero,Expos,110,467,15,65,63,16,8.80%,13.30%,0.195,0.314,0.294,0.363,0.489,0.369,120,1.9,13.7,-5,2.3,770
1987,Scott Fletcher,Rangers,156,668,5,82,63,13,9.10%,9.90%,0.087,0.316,0.287,0.358,0.374,0.328,96,-2.8,-6.3,6.9,2.3,1004155
2016,Marcus Semien,Athletics,159,621,27,72,75,10,8.20%,22.40%,0.197,0.268,0.238,0.3,0.435,0.315,98,-0.3,-1.9,3.4,2.3,12533
2016,Freddy Galvis,Phillies,158,624,20,61,67,17,4.00%,21.80%,0.158,0.28,0.241,0.274,0.399,0.284,73,1.2,-19.4,22,2.3,6609
1985,Hubie Brooks,Expos,156,652,13,67,100,6,5.20%,12.10%,0.144,0.288,0.269,0.31,0.413,0.316,101,-2.6,-1.9,2.5,2.3,1001472
1998,Gary DiSarcina,Angels,157,595,3,73,56,11,3.50%,8.60%,0.098,0.31,0.287,0.321,0.385,0.312,83,-0.8,-13.8,16.5,2.3,1003322
2005,Omar Vizquel,Giants,152,651,3,66,45,24,8.60%,8.90%,0.079,0.297,0.271,0.341,0.35,0.311,86,-0.3,-12,13.5,2.3,411
2013,Brandon Crawford,Giants,149,550,9,52,43,1,7.60%,17.50%,0.114,0.29,0.248,0.311,0.363,0.296,93,-0.7,-5.3,10.1,2.3,5343
2003,Jimmy Rollins,Phillies,156,689,8,85,62,20,7.80%,16.40%,0.124,0.308,0.263,0.32,0.387,0.309,85,0.3,-12.7,13.1,2.3,971
2002,Rich Aurilia,Giants,133,589,15,76,61,1,6.30%,15.30%,0.156,0.28,0.257,0.305,0.413,0.313,91,-2.2,-8.6,12.2,2.3,1106
2012,Zack Cozart,Reds,138,600,15,72,35,4,5.20%,18.80%,0.153,0.282,0.246,0.288,0.399,0.298,83,1.1,-11,13.9,2.3,2616
2010,Derek Jeter,Yankees,157,739,10,111,67,18,8.50%,14.30%,0.1,0.307,0.27,0.34,0.37,0.318,93,1,-5.3,1.8,2.3,826
2009,Ryan Theriot,Cubs,154,677,7,81,54,21,7.50%,13.70%,0.085,0.323,0.284,0.343,0.369,0.319,87,1.3,-9.6,10.3,2.2,3811
2017,Javier Baez,Cubs,145,508,23,75,75,10,5.90%,28.30%,0.207,0.345,0.273,0.317,0.48,0.326,98,3.8,2.2,3.9,2.2,12979
1996,Derek Jeter,Yankees,157,654,10,104,78,14,7.30%,15.60%,0.115,0.361,0.314,0.37,0.43,0.354,106,-0.5,5.3,-5.5,2.2,826
1996,Alex Gonzalez,Blue Jays,147,587,14,64,64,16,7.70%,21.60%,0.156,0.283,0.235,0.3,0.391,0.305,74,0.4,-20.5,21.1,2.2,281
1994,Royce Clayton,Giants,108,423,3,38,30,23,7.10%,17.50%,0.091,0.284,0.236,0.295,0.327,0.278,65,3.3,-15.6,23.7,2.2,226
2005,Adam Everett,Astros,152,595,11,58,54,21,4.40%,17.30%,0.117,0.285,0.248,0.29,0.364,0.287,70,4.9,-17.6,20.3,2.2,1430
1993,Royce Clayton,Giants,153,607,6,54,70,11,6.30%,15.00%,0.089,0.325,0.282,0.331,0.372,0.315,94,-1.8,-6.5,7.2,2.2,226
2005,Juan Uribe,White Sox,146,540,16,58,71,4,6.30%,14.30%,0.16,0.264,0.252,0.301,0.412,0.308,84,0.5,-10.3,14.2,2.2,454
2006,Adam Everett,Astros,150,566,6,52,59,9,6.00%,12.50%,0.113,0.265,0.239,0.29,0.352,0.278,62,0.6,-27.7,31.7,2.2,1430
2001,David Eckstein,Angels,153,664,4,82,41,29,6.50%,9.00%,0.072,0.312,0.285,0.355,0.357,0.321,95,4,-0.5,0.1,2.2,10
2004,Jose Valentin,White Sox,125,504,30,73,70,8,8.50%,27.60%,0.258,0.237,0.216,0.287,0.473,0.32,88,0.7,-7,12.4,2.2,256
1998,Jose Hernandez,Cubs,149,533,23,76,75,4,7.50%,26.30%,0.217,0.309,0.254,0.311,0.471,0.335,100,-1.8,-1.9,7.5,2.2,688
1989,Kevin Elster,Mets,151,508,10,52,55,4,6.70%,15.20%,0.129,0.253,0.231,0.283,0.36,0.281,81,-0.5,-11.3,16.5,2.2,1003758
2011,Derek Jeter,Yankees,131,607,6,84,61,16,7.60%,13.30%,0.092,0.336,0.297,0.355,0.388,0.331,104,0.4,3.3,-2.4,2.2,826
2015,Asdrubal Cabrera,Rays,143,551,15,66,58,6,6.50%,19.40%,0.164,0.306,0.265,0.315,0.43,0.319,104,0.5,2.7,-0.5,2.1,4962
1993,Walt Weiss,Marlins,158,591,1,50,39,7,13.40%,12.40%,0.042,0.307,0.266,0.367,0.308,0.31,86,0.3,-9.6,10.2,2.1,1013748
1997,Jose Vizcaino,Giants,151,630,5,77,50,8,7.60%,13.80%,0.085,0.306,0.266,0.323,0.35,0.303,82,-1.8,-16.2,17.6,2.1,577
1990,Ozzie Guillen,White Sox,160,563,1,61,58,13,4.60%,6.60%,0.062,0.296,0.279,0.312,0.341,0.29,78,-4.3,-18.2,21.4,2.1,1005125
1995,Mike Bordick,Athletics,126,478,8,46,44,11,7.30%,10.00%,0.086,0.28,0.264,0.325,0.35,0.305,81,0.8,-11.4,16.5,2.1,129
2007,Michael Young,Rangers,156,692,9,80,94,13,6.80%,15.50%,0.103,0.366,0.315,0.366,0.418,0.346,105,-2,2.7,-4.9,2.1,1286
2009,Stephen Drew,Diamondbacks,135,595,12,71,65,5,8.20%,14.60%,0.167,0.288,0.261,0.32,0.428,0.321,87,3,-6.3,8.3,2.1,4251
2011,Jamey Carroll,Dodgers,146,510,0,52,17,10,9.20%,11.40%,0.058,0.332,0.29,0.359,0.347,0.317,103,4,5.5,-1.5,2.1,1591
2012,Alcides Escobar,Royals,155,648,5,68,52,35,4.20%,15.40%,0.098,0.344,0.293,0.331,0.39,0.316,97,7,4.8,-6.4,2.1,6310
1999,Rich Aurilia,Giants,152,614,22,68,80,2,7.00%,11.60%,0.163,0.287,0.281,0.336,0.444,0.339,99,-0.9,-1.6,3.9,2.1,1106
2001,Jimmy Rollins,Phillies,158,720,14,97,54,46,6.70%,15.00%,0.145,0.308,0.274,0.323,0.419,0.32,93,5.7,-1.3,-0.9,2.1,971
2016,Elvis Andrus,Rangers,147,568,8,75,69,24,8.30%,12.30%,0.136,0.333,0.302,0.362,0.439,0.344,112,1.8,9.7,-8.7,2.1,8709
2001,Alex Gonzalez,Blue Jays,154,703,17,79,76,18,6.10%,21.20%,0.135,0.3,0.253,0.303,0.388,0.3,78,-1.2,-20.6,17.1,2.1,281
2010,Elvis Andrus,Rangers,148,674,0,88,35,32,9.50%,14.20%,0.036,0.317,0.265,0.342,0.301,0.298,75,8.4,-11.3,8.2,2.1,8709
1986,Wayne Tolleson,- - -,141,546,3,61,43,17,9.50%,13.90%,0.074,0.308,0.265,0.338,0.339,0.31,88,-0.7,-8.7,10.7,2.1,1013103
1996,Jay Bell,Pirates,151,598,13,65,71,6,9.00%,18.10%,0.14,0.289,0.25,0.323,0.391,0.313,85,-0.7,-12.3,15,2,48
2000,Edgar Renteria,Cardinals,150,643,16,94,76,21,9.80%,12.00%,0.146,0.293,0.278,0.346,0.423,0.337,95,-1.7,-6.2,6.5,2,1178
2012,Jamey Carroll,Twins,138,537,1,65,40,9,9.70%,12.10%,0.049,0.306,0.268,0.343,0.317,0.299,86,-1.4,-10,11.6,2,1591
2009,Alexei Ramirez,White Sox,148,606,15,71,68,14,8.10%,10.90%,0.113,0.288,0.277,0.333,0.389,0.319,86,-0.1,-10.6,10.2,2,5133
2004,Edgar Renteria,Cardinals,149,642,10,84,72,17,6.10%,12.10%,0.114,0.311,0.287,0.327,0.401,0.314,88,2.2,-7.9,7,2,1178
2017,Jose Reyes,Mets,145,561,15,75,58,24,8.90%,14.10%,0.168,0.263,0.246,0.315,0.413,0.312,94,5.4,1.1,1.1,2,1736
2016,Jose Iglesias,Tigers,137,513,4,57,32,7,5.50%,9.70%,0.081,0.276,0.255,0.306,0.336,0.283,72,1.8,-15.3,17.6,2,10231
2017,Brandon Crawford,Giants,144,570,14,58,77,3,7.40%,19.80%,0.151,0.293,0.253,0.305,0.403,0.301,86,-1.3,-11.5,13.2,2,5343
2007,Omar Vizquel,Giants,145,575,4,54,51,14,7.70%,8.30%,0.07,0.263,0.246,0.305,0.316,0.277,60,1.4,-28.7,30.2,2,411
1994,Mike Gallego,Yankees,89,357,6,39,41,0,10.60%,12.90%,0.121,0.26,0.239,0.327,0.359,0.309,81,-0.4,-9.2,17,2,1004458
2003,Rich Aurilia,Giants,129,545,13,65,58,2,6.60%,15.00%,0.133,0.308,0.277,0.325,0.41,0.322,94,-2.6,-6.6,8.8,2,1106
1990,Jay Bell,Pirates,159,696,7,93,52,10,9.30%,15.70%,0.108,0.298,0.254,0.329,0.362,0.315,97,-0.6,-3.4,-2.5,2,48
2014,Jed Lowrie,Athletics,136,566,6,59,50,0,9.00%,14.00%,0.106,0.281,0.249,0.321,0.355,0.3,95,-2.9,-6.3,6,2,4418
2014,Jordy Mercer,Pirates,149,555,12,56,55,4,6.30%,16.00%,0.132,0.285,0.255,0.305,0.387,0.299,91,0,-5.3,6.8,2,6547
2000,Mike Bordick,- - -,156,644,20,88,80,9,7.60%,15.40%,0.158,0.311,0.285,0.341,0.443,0.342,101,-0.9,0.2,-1.2,2,129
2012,Alexei Ramirez,White Sox,158,621,9,59,73,20,2.60%,12.40%,0.099,0.29,0.265,0.287,0.364,0.282,72,3.2,-17.4,15.4,2,5133
2001,Craig Counsell,Diamondbacks,141,535,4,76,38,6,11.40%,14.20%,0.087,0.318,0.275,0.359,0.362,0.321,88,-2.3,-11,13.2,2,52
2016,Brad Miller,Rays,152,601,30,73,81,6,7.80%,24.80%,0.239,0.277,0.243,0.304,0.482,0.333,111,1.6,9.6,-10.9,2,12775
1994,Ozzie Smith,Cardinals,98,433,3,51,30,6,8.80%,6.00%,0.087,0.272,0.262,0.326,0.349,0.301,79,-0.1,-12,17.1,1.9,1012186
